Wikipedias downfall is that it is free
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
SO FUCK YOU FOR SUPRESSING THAT YOU FACISTS
